num_channels,max_accuracy,best_channels
1,0.7277,[26]
2,0.7429,"[13, 14]"
3,0.7692,"[14, 21, 26]"
4,0.7624,"[11, 23, 27, 29]"
5,0.7460,"[5, 11, 14, 17, 27]"
6,0.7357,"[4, 14, 18, 23, 30, 31]"
7,0.7555,"[10, 11, 13, 14, 21, 22, 24]"
8,0.7187,"[0, 6, 8, 9, 13, 14, 21, 26]"
9,0.7279,"[6, 10, 14, 18, 21, 25, 26, 30, 31]"
10,0.7289,"[2, 5, 7, 14, 18, 22, 24, 26, 28, 29]"
11,0.7273,"[11, 14, 16, 18, 19, 21, 23, 28, 29, 30, 31]"
12,0.7223,"[5, 10, 11, 16, 17, 18, 19, 22, 25, 26, 28, 29]"
13,0.7245,"[4, 5, 11, 13, 15, 20, 22, 23, 26, 27, 29, 30, 31]"
14,0.7191,"[5, 7, 8, 11, 12, 14, 16, 18, 21, 22, 23, 26, 29, 31]"
15,0.7073,"[1, 2, 5, 7, 9, 11, 14, 18, 21, 22, 26, 27, 28, 29, 30]"
