num_channels,max_accuracy,best_channels
1,0.8345,[27]
2,0.8611,"[3, 27]"
3,0.8623,"[9, 19, 28]"
4,0.8752,"[5, 6, 14, 19]"
5,0.8764,"[8, 10, 19, 27, 29]"
6,0.8789,"[6, 11, 12, 14, 19, 20]"
7,0.8660,"[8, 11, 14, 17, 19, 20, 30]"
8,0.8711,"[9, 11, 18, 19, 21, 22, 27, 28]"
9,0.8788,"[5, 10, 11, 14, 19, 21, 23, 24, 25]"
10,0.8912,"[6, 9, 11, 14, 19, 20, 23, 25, 28, 31]"
11,0.8792,"[4, 5, 6, 9, 13, 14, 19, 21, 24, 28, 31]"
12,0.8748,"[3, 5, 6, 11, 17, 18, 19, 21, 24, 27, 28, 29]"
13,0.8821,"[5, 8, 11, 17, 19, 20, 22, 23, 24, 25, 27, 29, 30]"
14,0.8779,"[6, 8, 9, 10, 11, 13, 19, 20, 21, 23, 24, 25, 27, 28]"
15,0.8733,"[5, 6, 8, 11, 14, 15, 19, 20, 22, 23, 25, 27, 28, 30, 31]"
16,0.8768,"[8, 9, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29]"
17,0.8755,"[2, 5, 6, 8, 9, 10, 11, 12, 13, 15, 17, 19, 21, 23, 24, 27, 30]"
18,0.8781,"[4, 6, 8, 9, 11, 14, 15, 16, 17, 18, 19, 21, 22, 24, 25, 27, 28, 30]"
19,0.8731,"[5, 6, 8, 9, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 24, 25, 28, 30, 31]"
20,0.8702,"[3, 4, 5, 6, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 28, 29, 31]"
21,0.8624,"[1, 4, 5, 6, 9, 11, 12, 13, 14, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 30, 31]"
22,0.8704,"[4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
23,0.8607,"[2, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 27, 28, 29, 31]"
24,0.8606,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 24, 25, 26, 27, 28, 30, 31]"
25,0.8570,"[0, 2, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
26,0.8554,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 20, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
27,0.8544,"[0, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31]"
28,0.8557,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
29,0.8551,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31]"
30,0.8513,"[0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
31,0.8477,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
32,0.8385,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
