num_channels,max_accuracy,best_channels
1,0.7805,[14]
2,0.7493,"[14, 31]"
3,0.7759,"[21, 22, 27]"
4,0.7413,"[6, 14, 15, 23]"
5,0.7539,"[13, 25, 26, 27, 29]"
6,0.7455,"[4, 11, 14, 20, 26, 28]"
7,0.7116,"[0, 5, 8, 10, 11, 14, 26]"
8,0.6919,"[1, 3, 6, 10, 14, 20, 29, 30]"
9,0.6612,"[2, 5, 7, 10, 12, 14, 22, 24, 28]"
10,0.7132,"[1, 2, 3, 6, 11, 13, 22, 25, 27, 29]"
11,0.7077,"[2, 8, 14, 16, 22, 24, 26, 27, 28, 29, 31]"
12,0.6844,"[2, 7, 8, 10, 11, 14, 16, 18, 25, 26, 29, 31]"
13,0.6999,"[0, 1, 3, 5, 6, 9, 18, 23, 24, 26, 27, 29, 30]"
14,0.7030,"[0, 3, 6, 7, 11, 13, 14, 18, 21, 25, 26, 28, 29, 30]"
15,0.6850,"[3, 4, 5, 6, 8, 9, 11, 13, 14, 18, 24, 26, 27, 30, 31]"
16,0.6224,"[3, 7, 9, 10, 11, 13, 14, 15, 17, 19, 20, 21, 22, 25, 29, 31]"
17,0.6743,"[3, 4, 7, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 26, 27, 28, 29]"
18,0.6939,"[0, 2, 4, 8, 13, 14, 15, 16, 17, 18, 20, 21, 22, 25, 26, 27, 28, 29]"
19,0.6870,"[0, 1, 2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 16, 18, 20, 25, 26, 28, 29]"
20,0.7028,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 21, 22, 23, 25, 27, 29, 30]"
21,0.6618,"[0, 3, 5, 6, 7, 9, 11, 12, 15, 16, 17, 18, 20, 21, 25, 26, 27, 28, 29, 30, 31]"
22,0.6800,"[0, 3, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 21, 23, 24, 26, 27, 28, 29, 30]"
23,0.6730,"[0, 1, 3, 4, 7, 8, 10, 11, 12, 13, 15, 17, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
24,0.6915,"[0, 1, 3, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 21, 22, 23, 25, 26, 27, 29, 30, 31]"
25,0.6384,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 15, 16, 19, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31]"
26,0.6828,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31]"
27,0.6522,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
28,0.6384,"[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31]"
29,0.6689,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
30,0.6661,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
31,0.6217,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
32,0.6134,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
